,Account,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
97,@BBCBreaking,"There's got to be a time we ""get a bit tougher"" with the EU and ""this should have been the time"" - David Davis tell… https://t.co/KfYSPmeseP",Mon Jul 09 10:13:29 +0000 2018,0.1779,0.072,0.928,0.0,98
98,@BBCBreaking,Dominic Raab appointed Brexit Secretary after David Davis resigns from UK government https://t.co/rrWuBon3KV,Mon Jul 09 09:28:47 +0000 2018,-0.3182,0.0,0.839,0.161,99
99,@BBCBreaking,"#ThaiCaveRescue: Four boys rescued last night now in quarantine in Chiang Rai hospital, local officials say 

Live… https://t.co/RkkbsCm2S0",Mon Jul 09 08:05:02 +0000 2018,0.4215,0.141,0.859,0.0,100
100,@CBSNews,RT @CBSThisMorning: UPDATE: A federal judge issued a temporary restraining order to block access to the 10 blueprints that detail how to ma…,Wed Aug 01 01:39:41 +0000 2018,-0.4404,0.0,0.873,0.127,1
101,@CBSNews,"President Trump says the time has come for voter ID because, “you want to buy groceries, you need a picture on a ca… https://t.co/s1a5PzuUyR",Wed Aug 01 01:17:20 +0000 2018,0.0772,0.058,0.942,0.0,2
102,@CBSNews,"""I had five minutes to give her a kiss and not know what was going to happen"": Iowa teen seriously hurt in ""Kiki"" c… https://t.co/z5rLbsRp1O",Wed Aug 01 01:09:53 +0000 2018,-0.3182,0.097,0.727,0.176,3
103,@CBSNews,“Voters who are with Trump now feel vindicated”: @majorcbs speaks of the one important change he recognized with Pr… https://t.co/4924tFyZwL,Wed Aug 01 00:51:10 +0000 2018,0.2023,0.087,0.913,0.0,4
104,@CBSNews,"Teacher took more than 100 ""up-skirt"" photos of students in class with hidden camera https://t.co/Y9eTY3tZjT https://t.co/ruJ2m75Npf",Wed Aug 01 00:39:50 +0000 2018,0.0,0.0,1.0,0.0,5
105,@CBSNews,Why more millennials are quitting lucrative jobs to travel the world https://t.co/WjQPJ52yEE https://t.co/Kbuw6zREU0,Wed Aug 01 00:19:39 +0000 2018,0.0,0.0,1.0,0.0,6
106,@CBSNews,Actor Alan Alda reveals how strange behavior in a dream helped doctors unearth his diagnosis https://t.co/bwzYdWKrH7 https://t.co/TIZRvN3l0T,Wed Aug 01 00:00:00 +0000 2018,0.0516,0.112,0.787,0.101,7
107,@CBSNews,Here's how Trump's next tax cut would boost America's richest https://t.co/wLkXzpAuOZ https://t.co/rKyq6Nc1j0,Tue Jul 31 23:39:37 +0000 2018,0.6124,0.355,0.523,0.122,8
108,@CBSNews,"Penn State frat member gets house arrest over 2017 pledge death. He is the only member, out of the more than 12 peo… https://t.co/aPFKdiRbG0",Tue Jul 31 23:30:32 +0000 2018,-0.743,0.0,0.777,0.223,9
109,@CBSNews,A federal judge in Seattle issued a temporary restraining order to stop the release of blueprints for making untrac… https://t.co/i2SgIltoKt,Tue Jul 31 23:21:31 +0000 2018,-0.296,0.0,0.885,0.115,10
110,@CBSNews,RT @CBSThisMorning: It wasn't supposed to happen before midnight tonight but it turns out the founder of a radical pro-gun group has alread…,Tue Jul 31 23:14:02 +0000 2018,0.0,0.0,1.0,0.0,11
111,@CBSNews,WATCH NOW: President Trump holds rally for the Republican candidate for governor in Florida as he ramps up campaign… https://t.co/DA5DJF7RTR,Tue Jul 31 23:11:49 +0000 2018,0.0,0.0,1.0,0.0,12
112,@CBSNews,"They rocked the wedding of Prince Harry and Meghan Markle before a worldwide television audience. 

Now the Kingdom… https://t.co/cYsTVy1nYM",Tue Jul 31 23:08:10 +0000 2018,0.0,0.0,1.0,0.0,13
113,@CBSNews,RT @CBSEveningNews: LA County district attorney's office said it would not pursue criminal charges against CBS CEO Les Moonves in connectio…,Tue Jul 31 23:05:43 +0000 2018,0.5559,0.195,0.805,0.0,14
114,@CBSNews,"So far in 2018, 29 children have died in hot cars. At this rate, its on track to be one the deadliest years ever.… https://t.co/VUc8Ll3yd5",Tue Jul 31 23:02:53 +0000 2018,-0.5574,0.0,0.87,0.13,15
115,@CBSNews,"""If I allow you to download an AR-15, I don't believe that I provide you with anything other than the general knowl… https://t.co/QINWy9lWc3",Tue Jul 31 22:58:13 +0000 2018,0.2263,0.091,0.909,0.0,16
